ID,TITLE,PLATFORM,STATUS
646,Bomberman,TurboGrafx-16,in_wishlist
647,Neutopia,TurboGrafx-16,in_wishlist
648,Cadash,TurboGrafx-16,in_wishlist
649,Bomberman '93,TurboGrafx-16,in_wishlist
650,Neutopia II,TurboGrafx-16,in_wishlist
651,Bonk's Adventure III,TurboGrafx-16,in_wishlist
652,Magical Chase,TurboGrafx-16,in_wishlist
653,Air Zonk,TurboGrafx-16,in_wishlist
654,Turrican,TurboGrafx-16,in_wishlist
655,Sidearms,TurboGrafx-16,in_wishlist
656,Chase HQ,TurboGrafx-16,in_wishlist
657,Silent Debuggers,TurboGrafx-16,in_wishlist
658,Moto Roader,TurboGrafx-16,in_wishlist
659,Bump 'n' Jump,Intellivision,in_wishlist
660,Astrosmash,Intellivision,in_wishlist
661,Star Strike,Intellivision,in_wishlist
662,Donkey Kong,Intellivision,in_wishlist
663,Advanced Dungeons and Dragons,Intellivision,in_wishlist
664,Atlantis,Intellivision,in_wishlist
665,Shark Shark,Intellivision,in_wishlist
666,Pac-Man,Intellivision,in_wishlist
667,Frogger,Intellivision,in_wishlist
668,Donkey Kong Jr.,Intellivision,in_wishlist
669,Q-Bert,Intellivision,in_wishlist
670,Masters of the Universe: The Power of He-Man,Intellivision,in_wishlist
671,Dig Dug,Intellivision,in_wishlist
672,Tower of Doom,Intellivision,in_wishlist
673,Diner,Intellivision,in_wishlist
674,Dracula,Intellivision,in_wishlist
675,Defender,Intellivision,in_wishlist
676,Demon Attack,Intellivision,in_wishlist
677,Motor Psycho,Atari 7800,in_wishlist
678,Rygar,Atari Lynx,in_wishlist
679,Xenophobe,Atari Lynx,in_wishlist
680,Joust,Atari Lynx,in_wishlist
681,Ninja Gaiden II,Atari Lynx,in_wishlist
682,Ninja Gaiden III,Atari Lynx,in_wishlist
683,Ishido: Way of the Stones,Atari Lynx,in_wishlist
684,Final Lap 2000,Bandai WonderSwan,in_wishlist
685,Klax,Atari Lynx,in_ordered
686,Turntablist DJ Battle,Bandai WonderSwan,in_ordered
